,rank_year,ranks,title,author,no_of_reviews,ratings,price,cover_type,genre
400,2013,8.0,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,7789.0,4.7,11.87,Hardcover,Non Fiction
401,2013,9.0,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,18656.0,4.5,6.79,Paperback,Fiction
402,2013,10.0,Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,13007.0,4.5,18.44,Hardcover,Non Fiction
403,2013,11.0,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,16915.0,4.4,12.79,Paperback,Non Fiction
404,2013,12.0,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,12114.0,4.7,144.0,Paperback,Non Fiction
405,2013,13.0,The Official SAT Study Guide,The College Board,1526.0,4.4,41.0,Paperback,Non Fiction
406,2013,14.0,The Fault in Our Stars,John Green,62087.0,4.7,11.06,Hardcover,Fiction
407,2013,15.0,The Book Thief,Markus Zusak,34536.0,4.7,6.99,Paperback,Fiction
408,2013,16.0,Wonder,R. J. Palacio,35698.0,4.8,9.67,Hardcover,Fiction
409,2013,17.0,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,7012.0,4.7,23.99,Paperback,Non Fiction
410,2013,18.0,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,12674.0,4.5,24.29,Paperback,Non Fiction
411,2013,19.0,Divergent,Veronica Roth,9701.0,4.7,8.0,Paperback,Fiction
412,2013,20.0,Laugh-Out-Loud Jokes for Kids,Rob Elliott,10751.0,4.6,4.99,Paperback,Non Fiction
413,2013,21.0,"Oh, the Places You'll Go!Â Â ",Dr. Seuss,42848.0,4.9,8.48,Hardcover,Fiction
414,2013,22.0,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,7251.0,4.5,16.6,Hardcover,Non Fiction
415,2013,23.0,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,6354.0,4.6,54.98,Mass Market Paperback,Fiction
416,2013,24.0,Allegiant,Veronica Roth,24591.0,3.9,12.04,Hardcover,Fiction
417,2013,25.0,And the Mountains Echoed,Khaled Hosseini,17303.0,4.4,12.33,Hardcover,Fiction
418,2013,26.0,Humans of New York,Brandon Stanton,5377.0,4.8,15.38,Hardcover,Non Fiction
